respondent_id,date,overall_satisfaction,product_quality,customer_service,would_recommend,improvement_suggestions,product_category,region
CS_0360,2024-12-11,5,5,5,yes,Keep up the good work,Electronics,Latin America
CS_0361,2024-01-08,5,4,5,yes,Keep up the good work,Electronics,North America
CS_0362,2024-03-05,4,3,3,yes,Keep up the good work,Software,Europe
CS_0363,2024-06-30,1,1,2,no,Make it cheaper,Fashion,Asia Pacific
CS_0364,2024-08-08,2,2,3,no,Make it cheaper,Fashion,Asia Pacific
CS_0365,2024-06-02,2,2,3,no,Make it cheaper,Fashion,Latin America
CS_0366,2024-04-15,4,3,5,yes,Keep up the good work,Fashion,Latin America
CS_0367,2024-11-15,5,4,5,yes,Keep up the good work,Fashion,North America
CS_0368,2024-01-17,3,3,2,yes,Keep up the good work,Home,North America
CS_0369,2024-04-07,3,3,4,yes,Keep up the good work,Electronics,Asia Pacific
CS_0370,2024-01-31,4,4,4,yes,Keep up the good work,Electronics,Latin America
CS_0371,2024-03-08,3,2,2,yes,Keep up the good work,Electronics,Asia Pacific
CS_0372,2024-09-25,5,5,5,yes,Keep up the good work,Fashion,Latin America
CS_0373,2024-03-10,3,4,4,yes,Keep up the good work,Home,North America
CS_0374,2024-07-17,5,5,5,yes,Keep up the good work,Fashion,Latin America
CS_0375,2024-11-05,3,4,2,yes,Keep up the good work,Home,Asia Pacific
CS_0376,2024-02-04,4,3,5,yes,Keep up the good work,Software,Latin America
CS_0377,2024-01-25,2,3,1,no,Make it cheaper,Software,Latin America
CS_0378,2024-01-22,4,4,3,yes,Keep up the good work,Home,North America
CS_0379,2024-02-28,3,4,2,yes,Keep up the good work,Electronics,North America
CS_0380,2024-05-02,5,4,5,yes,Keep up the good work,Fashion,Europe
CS_0381,2024-07-23,3,2,3,yes,Keep up the good work,Fashion,Latin America
CS_0382,2024-10-05,3,4,3,yes,Keep up the good work,Home,Europe
CS_0383,2024-07-07,5,5,5,yes,Keep up the good work,Software,Asia Pacific
CS_0384,2024-11-24,4,3,3,yes,Keep up the good work,Fashion,North America
CS_0385,2024-10-13,4,5,3,yes,Keep up the good work,Fashion,Asia Pacific
CS_0386,2024-05-20,3,4,4,yes,Keep up the good work,Software,Asia Pacific
CS_0387,2024-08-26,4,4,3,yes,Keep up the good work,Fashion,Latin America
CS_0388,2024-06-16,4,3,4,yes,Keep up the good work,Fashion,North America
CS_0389,2024-08-13,1,2,1,no,Make it cheaper,Electronics,Europe
CS_0390,2024-12-08,2,1,2,no,Make it cheaper,Home,Asia Pacific
CS_0391,2024-08-18,4,4,5,yes,Keep up the good work,Home,Asia Pacific
CS_0392,2024-10-21,4,4,4,yes,Keep up the good work,Software,North America
CS_0393,2024-06-01,3,4,4,yes,Keep up the good work,Fashion,Europe
CS_0394,2024-04-20,4,3,3,yes,Keep up the good work,Home,North America
CS_0395,2024-11-10,2,3,1,no,Make it cheaper,Software,Latin America
CS_0396,2024-03-14,5,4,5,yes,Keep up the good work,Fashion,Latin America
CS_0397,2024-12-24,5,4,5,yes,Keep up the good work,Software,North America
CS_0398,2024-04-14,4,4,5,yes,Keep up the good work,Home,Europe
CS_0399,2024-05-13,5,4,5,yes,Keep up the good work,Electronics,North America
